pod,4 tokens per instance,16 tokens per instance,64 tokens per instance,128 tokens per instance
A-0,1901621162f,8061299641f,32655997435f,65464036664f
A-1,2166802857f,8285860106f,33140122385f,66229254641f
A-10,591371446f,2392176849f,9759690890f,19407642892f
A-11,518060098f,2109823922f,8448708091f,17211199003f
A-12,463966287f,1850971768f,7444189677f,15197093632f
A-13,414753118f,1620996837f,6506521430f,13148837155f
A-14,362591226f,1395444972f,5604966320f,11405117747f
A-15,307378936f,1193279512f,4768225558f,9681243499f
A-16,258165767f,998142701f,3910277412f,8071882762f
A-17,207325719f,812983236f,3209827245f,6662352184f
A-18,162891516f,639186527f,2484217369f,5200913339f
A-19,121507717f,471516041f,1846516714f,3843502485f
A-2,1738933015f,6834529320f,27020056335f,54094300540f
A-20,79818877f,315675401f,1247081091f,2615903727f
A-21,40773719f,160314567f,650886158f,1391921384f
A-3,1482495813f,5849655926f,22960447849f,45592628592f
A-4,1265103766f,5094744829f,19891135971f,39632413556f
A-5,1106279457f,4478576112f,17696947195f,34766586359f
A-6,958639953f,3905329190f,15729275724f,30849240253f
A-7,844249844f,3402991392f,14004495078f,27685245372f
A-8,750195756f,3028058756f,12384510456f,24618139763f
A-9,656039989f,2694306536f,11019360186f,21997457584f
B-0,2145246676f,8892568288f,35672612295f,71864740708f
B-1,2111522777f,8304315067f,33106767158f,66500465806f
B-10,577034552f,2358300380f,9312015377f,18458121279f
B-11,512501586f,2073884215f,8248005901f,16302255072f
B-12,458407773f,1808550016f,7257593002f,14286364593f
B-13,399704463f,1577587906f,6301950453f,12380537047f
B-14,348593267f,1358857074f,5446034857f,10686597089f
B-15,295414576f,1149682045f,4625188627f,9092055812f
B-16,246777596f,948916814f,3844488704f,7565155146f
B-17,194039519f,767130272f,3131915299f,6121097105f
B-18,148588516f,595732581f,2459208253f,4766294931f
B-19,107848690f,424594911f,1808509436f,3489126556f
B-2,1723511536f,6771386048f,27162928881f,53424715252f
B-20,68057879f,266999232f,1182176231f,2296394538f
B-21,26979119f,111593909f,518549460f,1009528311f
B-3,1455313333f,5748001315f,23326890367f,46087424663f
B-4,1268899824f,5017641645f,20276343487f,40445888128f
B-5,1101771639f,4377370580f,17735635571f,35666097994f
B-6,967113290f,3893017403f,15196290119f,31454450222f
B-7,836623838f,3437405860f,13390181519f,27651790525f
B-8,750941411f,3034396806f,11880217375f,24165005911f
B-9,654074173f,2677931774f,10499954196f,21052806448f
C-0,2373755748f,9735479364f,38378302830f,76908175140f
C-1,2111082163f,8191551925f,33005532367f,65839037222f
C-10,568425638f,2310019306f,9429829843f,18657706626f
C-11,509620647f,2043541157f,8296392902f,16491046904f
C-12,440376504f,1777215588f,7232965655f,14379033230f
C-13,386452157f,1538911337f,6251216381f,12517406922f
C-14,336459443f,1319816152f,5387040382f,10753950616f
C-15,287212382f,1112846300f,4556309132f,9075468117f
C-16,234948812f,908363398f,3746008903f,7503016524f
C-17,187294740f,726478883f,3012130359f,6093901514f
C-18,138352720f,554326006f,2331067199f,4706056529f
C-19,95409825f,390282115f,1678101190f,3365645346f
C-2,1728527755f,6658860107f,26606850791f,53649422880f
C-20,54636106f,233228731f,1055348348f,2150749682f
C-21,13353986f,57000169f,275585773f,577964935f
C-3,1452601864f,5750585614f,22642238480f,45785194897f
C-4,1263239631f,5029661071f,19759467754f,39431947221f
C-5,1088485439f,4429129960f,17307049998f,34510327411f
C-6,925966749f,3831318810f,15217296426f,30438829190f
C-7,832319380f,3378219531f,13498482236f,26962151299f
C-8,724233435f,2985869949f,12055051542f,23876830797f
C-9,646210911f,2633158668f,10661188074f,21093050132f
